Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
252,ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,11/19/15,1110803,
253,IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Machinery,11/17/10,1466258,
254,INTC,Intel Corp.,reports,Information Technology,Semiconductors,12/31/76,50863,
255,ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,9/26/07,1571949,
256,IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,,51143,1911
257,INCY,Incyte,reports,Health Care,Biotechnology,2/28/17,879169,
258,IP,International Paper,reports,Materials,Paper Packaging,,51434,1898
259,IPG,Interpublic Group,reports,Communication Services,Advertising,10/1/92,51644,
260,IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,3/31/76,51253,
261,INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,12/5/00,896878,
262,ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,6/2/08,1035267,
263,IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,8/21/08,914208,
264,IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,3/7/18,1111928,
265,IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Service,8/29/17,1478242,
266,IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,1/6/09,1020569,
267,JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,11/13/18,779152,
268,JEC,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,10/26/07,52988,
269,JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,7/1/15,728535,
270,JEF,Jefferies Financial Group,reports,Financials,Multi-Sector Holdings,8/27/07,96223,
271,SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,11/6/08,91419,
272,JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,6/30/73,200406,1886
273,JCI,Johnson Controls International,reports,Industrials,Building Products,8/27/10,833444,
274,JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,6/30/75,19617,
275,JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,,1043604,1996
276,KSU,Kansas City Southern,reports,Industrials,Railroads,5/24/13,54480,
277,K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,,55067,1906
278,KEY,KeyCorp,reports,Financials,Regional Banks,3/1/94,91576,
279,KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,11/6/18,1601046,2014
280,KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,,55785,1872
281,KIM,Kimco Realty,reports,Real Estate,Retail REITs,4/4/06,879101,
282,KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,5/25/12,1506307,
283,KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,,319201,1975 
284,KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,,885639,1962
285,KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,7/6/15,1637459,
286,KR,Kroger Co.,reports,Consumer Staples,Food Retail,,56873,1883
287,LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,9/30/83,701985,
288,LLL,L-3 Communications Holdings,reports,Industrials,Aerospace & Defense,,1039101,1997
289,LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,11/1/04,920148,
290,LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,6/29/12,707549,
291,LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,12/3/18,1679273,
292,LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,,58492,1883
293,LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,10/4/05,920760,
294,LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,12/31/70,59478,1876
295,LNC,Lincoln National,reports,Financials,Multi-line Insurance,6/30/76,59558,
296,LIN,Linde plc,reports,Materials,Industrial Gases,7/1/92,1707925,
297,LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,5/23/16,1065696,
298,LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,7/31/84,936468,
299,L,Loews Corp.,reports,Financials,Multi-line Insurance,,60086,
300,LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,2/29/84,60667,1904
301,LYB,LyondellBasell,reports,Materials,Specialty Chemicals,9/5/12,1489393,
302,MTB,M&T Bank Corp.,reports,Financials,Regional Banks,,36270,1856
303,MAC,Macerich,reports,Real Estate,Retail REITs,5/9/13,912242,
304,M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,,794367,1929
305,MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,5/1/91,101778,
